model_id,paper_title,authors,year,journal_or_series,doi,source_id,paper_slug,mineru_match_status,mineru_match_score,mineru_run_ids,primary_source_title,model_title_match_score,model_match_notes,derivation_en_path,derivation_zh_path,derivation_zh_source_file,source_manifest_path,extraction_notes_path,worker_report_path,derivation_en_sha256,derivation_zh_sha256,en_f_reference_count,zh_f_reference_count,unique_f_equation_count,f_reference_sequence_match,en_has_eight_sections,zh_has_eight_sections,archive_status,formula_quality,steady_state_quality,needs_human_review,runtime_validation_performed,source_markdown_storage,primary_full_md_repo,primary_full_md_repo_relpath,primary_full_md_sha256,raw_pdf_repo,raw_pdf_repo_relpath,raw_pdf_sha256
BRA_SAMBA08,Samba: Stochastic analytical model with a bayesian approach,"Gouvea, Solange; Minella, André; Santos, Rafael; Souza-Sobrinho, Nelson",2008,unpublished,10.12660/bre.v35n22015.57573,bra_samba08__samba_stochastic_analytical_model_with_a_bayesian_approach__8681ba38,bra_samba08__samba_stochastic_analytical_model_with_a_bayesian_approach,matched,0.9455,8681ba38-3d6a-453b-8229-c524e9fde18e; c6e497b6-b09e-4a9e-9c91-8b913af49f93,Stochastic analytical model with a bayesian approach 2011,0.9455,primary source title differs from model title; review variant mapping,mmb-paper-derivations/derivations/BRA_SAMBA08/BRA_SAMBA08_derivation.en.md,mmb-paper-derivations/derivations/BRA_SAMBA08/BRA_SAMBA08_derivation.zh.md,BRA_SAMBA08_derivation.zh.md,mmb-paper-derivations/derivations/BRA_SAMBA08/source_manifest.json,mmb-paper-derivations/derivations/BRA_SAMBA08/extraction_notes.md,mmb-paper-derivations/derivations/BRA_SAMBA08/worker_report.json,480880f632012f53eaa2750d630d7bc4538c1b3117737ef03bcebe51706dfceb,4944b0db3ad6b36cad18ee16c7fe1f890244b6d5c133a24a96e94305221f6ee8,96,96,50,true,true,true,completed_needs_review,needs_review,needs_review,true,false,not_vendored_public_repo_copyright_boundary,dsge-evaluation,raw/mmb_mineru/runs/bra_samba08__samba_stochastic_analytical_model_with_a_bayesian_approach__8681ba38/full.md,2ad87f4be481f6c5204b7275aa1a0ba1e081fd5049ccc40c7fa04ebe8efdbba7,dsge-evaluation,raw/mmb_papers/Stochastic analytical model with a bayesian approach 2011.pdf,8ec1fcf4cc37cee968c4bf8d23d92dbe537f0401a25ca509befa84d8e0c1325e
CA_BMZ12,Macroprudential rules and monetary policy when financial frictions matter,"Bailliu, Jeannine; Zhang, Yahong; Meh, Césaire A.",2012,Bank of Canada Working Paper 2012-6,10.1016/j.econmod.2015.06.012,ca_bmz12__macroprudential_rules_and_monetary_policy_when_financial_frictions_matte__aa2f7a66,ca_bmz12__macroprudential_rules_and_monetary_policy_when_financial_frictions_matte,matched,1.0000,aa2f7a66-382f-4b7a-b1e5-7ea424d00208,Macroprudential rules and monetary policy when financial frictions matter,1.0000,,mmb-paper-derivations/derivations/CA_BMZ12/CA_BMZ12_derivation.en.md,mmb-paper-derivations/derivations/CA_BMZ12/CA_BMZ12_derivation.zh.md,CA_BMZ12_derivation.zh.md,mmb-paper-derivations/derivations/CA_BMZ12/source_manifest.json,mmb-paper-derivations/derivations/CA_BMZ12/extraction_notes.md,mmb-paper-derivations/derivations/CA_BMZ12/worker_report.json,9a67cbab226d472011fc8dba51b1a7df7422cde4079644c976bd6f7cac6486a3,1da3a6c2065d60bdc168a0480f19198bfa6eac070028ffcacaa162703c315d40,115,115,37,true,true,true,needs_review,needs_review,partial_from_paper_and_implementation_cross_check,true,false,not_vendored_public_repo_copyright_boundary,dsge-evaluation,raw/mmb_mineru/runs/ca_bmz12__macroprudential_rules_and_monetary_policy_when_financial_frictions_matte__aa2f7a66/full.md,7ef665791e162bac910cf647d9d75e5a5ff7ce1ca73ccb16b5dc74ba58263f29,dsge-evaluation,raw/mmb_papers/Macroprudential rules and monetary policy when financial frictions matter.pdf,37cdb7c76d7e0cef53ef9630cb20dc6eb7008b7390dcb4c7b295d782a3c7ed8d
CA_LS07,Do central banks respond to exchange rate movements? A structural investigation,"Lubik, Thomas; Schorfheide, Frank",2007,"Journal of Monetary Economics 54(4), pp. 1069-1087",10.1016/j.jmoneco.2006.01.009,ca_ls07__do_central_banks_respond_to_exchange_rate_movements_a_structural_investi__075fd116,ca_ls07__do_central_banks_respond_to_exchange_rate_movements_a_structural_investi,matched,1.0000,075fd116-e951-48af-9644-dfddec2c1ac6,Do central banks respond to exchange rate movements? A structural investigation,1.0000,,mmb-paper-derivations/derivations/CA_LS07/CA_LS07_derivation.en.md,mmb-paper-derivations/derivations/CA_LS07/CA_LS07_derivation.zh.md,CA_LS07_derivation.zh.md,mmb-paper-derivations/derivations/CA_LS07/source_manifest.json,mmb-paper-derivations/derivations/CA_LS07/extraction_notes.md,mmb-paper-derivations/derivations/CA_LS07/worker_report.json,08473d93a57e6b6a15fca1861377823bdbb494c126e5a1513eddd3d8a867c1c6,508292134c855f81323805b93d51496a802bdd3e0e19c173048f9ead03bc4d48,32,32,12,true,true,true,needs_review,"legible MinerU Markdown, not PDF-audited","linear model, zero steady state recorded",true,false,not_vendored_public_repo_copyright_boundary,dsge-evaluation,raw/mmb_mineru/runs/ca_ls07__do_central_banks_respond_to_exchange_rate_movements_a_structural_investi__075fd116/full.md,244c995e5b13ef7cf5eabace5a0fa9f71b3320b717ee764759cf04b49cfbff7b,dsge-evaluation,raw/mmb_papers/Do central banks respond to exchange rate movements? A structural investigation.pdf,a70b1ede6937f01fddee0a0b8624b68596d4486daae337de49e447cc63a2c357
CA_ToTEM10,ToTEM: The Bank of Canada's New Canadian Projection Model,"Murchison, Stephen; Rennison, Andrew",2006,Bank of Canada Technical Report,,ca_totem10__totem_the_bank_of_canada_s_new_canadian_projection_model__1f1558b7,ca_totem10__totem_the_bank_of_canada_s_new_canadian_projection_model,matched,1.0000,1f1558b7-6221-43b1-bd72-0da851c17e30,ToTEM- The Bank of Canada's New Canadian Projection Model,1.0000,,mmb-paper-derivations/derivations/CA_ToTEM10/CA_ToTEM10_derivation.en.md,mmb-paper-derivations/derivations/CA_ToTEM10/CA_ToTEM10_derivation.zh.md,CA_ToTEM10_derivation.zh.md,mmb-paper-derivations/derivations/CA_ToTEM10/source_manifest.json,mmb-paper-derivations/derivations/CA_ToTEM10/extraction_notes.md,mmb-paper-derivations/derivations/CA_ToTEM10/worker_report.json,32caf9f5a4c48fe803eb8dc48f7c3edba78887ee7cb2b2fb362bb30d1fd41276,f07e23919a41ab7598ef517d689a9df0d118ae9439400bfeb96e8164ea322715,71,71,30,true,true,true,needs_review,narrative_source_limited; equations marked needs_review,needs_review,true,false,not_vendored_public_repo_copyright_boundary,dsge-evaluation,raw/mmb_mineru/runs/ca_totem10__totem_the_bank_of_canada_s_new_canadian_projection_model__1f1558b7/full.md,aa04b5100362b38a2bd9d2a3cb81538770ec75122336002e60331702640c936f,dsge-evaluation,raw/mmb_papers/ToTEM- The Bank of Canada's New Canadian Projection Model.pdf,cb9f417bf7e4e6edb118cd06abc194483df2d855e0cac6e8b24d09599862bb48
CL_MS07,The Chilean business cycles through the lens of a stochastic general equilibrium model,"Medina, Juan Pablo; Soto, Claudio",2007,Central Bank of Chile Working Papers 457,,cl_ms07__the_chilean_business_cycles_through_the_lens_of_a_stochastic_general_equ__ba200544,cl_ms07__the_chilean_business_cycles_through_the_lens_of_a_stochastic_general_equ,matched,1.0000,ba200544-f03b-40fa-9701-e329f23df158,The Chilean business cycles through the lens of a stochastic general equilibrium model,1.0000,,mmb-paper-derivations/derivations/CL_MS07/CL_MS07_derivation.en.md,mmb-paper-derivations/derivations/CL_MS07/CL_MS07_derivation.zh.md,CL_MS07_derivation.zh.md,mmb-paper-derivations/derivations/CL_MS07/source_manifest.json,mmb-paper-derivations/derivations/CL_MS07/extraction_notes.md,mmb-paper-derivations/derivations/CL_MS07/worker_report.json,832eb2196bb873507c6dbf0ef4fcb9436c4428eae4750b8bb26c5eba23500a54,cb822c8fc409f25339c0e9d8176612ce5d3c919bfa68570bf3ec1dc5afee76f2,115,115,40,true,true,true,needs_review,first-pass OCR extraction; long fiscal and external-account equations need source review,calibration and implementation cross-check summarized; full analytical steady-state not reconstructed,true,false,not_vendored_public_repo_copyright_boundary,dsge-evaluation,raw/mmb_mineru/runs/cl_ms07__the_chilean_business_cycles_through_the_lens_of_a_stochastic_general_equ__ba200544/full.md,53dd5b8e2c0357bb61a983ce13f67be6038bacbeda284b19d8e2ff49d9d6b78f,dsge-evaluation,raw/mmb_papers/The Chilean business cycles through the lens of a stochastic general equilibrium model.pdf,61a5118ff69dbc00c90a2c0f9c93ce1c9845439e54c5dfb4ed04ada71bd144df
DEREA_GEAR16,Fiscal policy during the crisis: A look on Germany and the Euro area with GEAR,"Gadatsch, Niklas; Hauzenberger, Klemens; Stähler, Nikolai",2016,"Economic Modelling, 52, 997-1016",10.1016/j.econmod.2015.10.038,derea_gear16__fiscal_policy_during_the_crisis_a_look_on_germany_and_the_euro_area_with__0124e095,derea_gear16__fiscal_policy_during_the_crisis_a_look_on_germany_and_the_euro_area_with,matched,1.0000,0124e095-1761-4c44-ad21-f42ff3285c6e,Fiscal policy during the crisis- A look on Germany and the Euro area with GEAR,1.0000,,mmb-paper-derivations/derivations/DEREA_GEAR16/DEREA_GEAR16_derivation.en.md,mmb-paper-derivations/derivations/DEREA_GEAR16/DEREA_GEAR16_derivation.zh.md,DEREA_GEAR16_derivation.zh.md,mmb-paper-derivations/derivations/DEREA_GEAR16/source_manifest.json,mmb-paper-derivations/derivations/DEREA_GEAR16/extraction_notes.md,mmb-paper-derivations/derivations/DEREA_GEAR16/worker_report.json,42a25bf4200bc6a9ba10c6e5ba619dfc72e0a2c4fb96b3d4bed2572bcd7ae932,17fcbc9d3fceed58cd1d7a5efe155d3214fb030cd231694e619982db7089fc77,75,75,43,true,true,true,needs_review,needs_review,needs_review,true,false,not_vendored_public_repo_copyright_boundary,dsge-evaluation,raw/mmb_mineru/runs/derea_gear16__fiscal_policy_during_the_crisis_a_look_on_germany_and_the_euro_area_with__0124e095/full.md,d542c9f7ee6951736d29775c6dbadecf957618056a4295e31ff38ed9489ebff1,dsge-evaluation,raw/mmb_papers/Fiscal policy during the crisis- A look on Germany and the Euro area with GEAR.pdf,7d3c1f2aacf3a4112cd9979a528bc4a185f6d6d5687b1e9f4262c9ffe88de855
EACZ_GEM03,"Monetary rule for small, open, emerging economies","Laxton, Douglas; Pesenti, Paolo",2003,"Journal of Monetary Economics 50(5), pp. 1109-1146",10.1016/s0304-3932(03)00057-6,eacz_gem03__monetary_rule_for_small_open_emerging_economies__7512f0ea,eacz_gem03__monetary_rule_for_small_open_emerging_economies,matched,1.0000,7512f0ea-fa74-4a87-a6a7-25f1c080f429,"Monetary rule for small, open, emerging economies",1.0000,,mmb-paper-derivations/derivations/EACZ_GEM03/EACZ_GEM03_derivation.en.md,mmb-paper-derivations/derivations/EACZ_GEM03/EACZ_GEM03_derivation.zh.md,EACZ_GEM03_derivation.zh.md,mmb-paper-derivations/derivations/EACZ_GEM03/source_manifest.json,mmb-paper-derivations/derivations/EACZ_GEM03/extraction_notes.md,mmb-paper-derivations/derivations/EACZ_GEM03/worker_report.json,4a91d1854645527477d14a97b61a204bb1b62c51476a9f60fefd535635106c0c,a28f5743ed5d719cf4b9818c7856555ae3bdcf73e80dd601b1945bd45d1ec383,116,116,43,true,true,true,needs_review,needs_review; OCR damage in nested CES and policy/UIP notation; full pricing/wage FOCs not printed in source,source-backed restrictions only; no full closed-form steady-state reconstruction,true,false,not_vendored_public_repo_copyright_boundary,dsge-evaluation,raw/mmb_mineru/runs/eacz_gem03__monetary_rule_for_small_open_emerging_economies__7512f0ea/full.md,53cc5fc3cbcaadcf6b8e7eb5a243683800b52115e593bb9b46e6d4d218c51c2b,dsge-evaluation,"raw/mmb_papers/Monetary rule for small, open, emerging economies.pdf",246add562a1c8ca74bf354800715f19408bdce792dfbf1102c762fcbfe357e20
EAES_RA09,Inflation differentials between Spain and the EMU: A DSGE perspective,"Rabanal, Pau",2009,"Journal of Money, Credit and Banking 41(6), pp. 1141-1166",10.1111/j.1538-4616.2009.00250.x,eaes_ra09__inflation_differentials_between_spain_and_the_emu_a_dsge_perspective__9d18a448,eaes_ra09__inflation_differentials_between_spain_and_the_emu_a_dsge_perspective,matched,1.0000,9d18a448-9e8f-4f5d-afd4-ccab95a34c76,Inflation differentials between Spain and the EMU- A DSGE perspective,1.0000,,mmb-paper-derivations/derivations/EAES_RA09/EAES_RA09_derivation.en.md,mmb-paper-derivations/derivations/EAES_RA09/EAES_RA09_derivation.zh.md,EAES_RA09_derivation.zh.md,mmb-paper-derivations/derivations/EAES_RA09/source_manifest.json,mmb-paper-derivations/derivations/EAES_RA09/extraction_notes.md,mmb-paper-derivations/derivations/EAES_RA09/worker_report.json,d2301737a843aab203e3992a9292a84206179ce57a19ea996f70dd7ee22d2c7f,03d0f5500af1c84541123d6200cbaa87afb21649b154b4d3dbc82da04969d3e5,88,88,48,true,true,true,needs_review,first_pass_needs_review,linearized_zero_steady_state_from_implementation; nonlinear_normalized_steady_state_incomplete,true,false,not_vendored_public_repo_copyright_boundary,dsge-evaluation,raw/mmb_mineru/runs/eaes_ra09__inflation_differentials_between_spain_and_the_emu_a_dsge_perspective__9d18a448/full.md,01913e5afa64364e6e445420de1077b6ec6d88686a768c4a3f1a356a30f86c2e,dsge-evaluation,raw/mmb_papers/Inflation differentials between Spain and the EMU- A DSGE perspective.pdf,e4e1641e0ad781c35b7e0c9b53c5d06b7060c11c21fbfff76b41fbd6d9676ca5
EAUS_NAWM08,Tax reform and labour-market performance in the euro area: A simulation-based analysis using the New Area-Wide Model,"Coenen, Günther; McAdam, Peter; Straub, Roland",2008,"Journal of Economic Dynamics & Control 32(8), pp. 2543-2583",10.1016/j.jedc.2007.09.007,eaus_nawm08__tax_reform_and_labour_market_performance_in_the_euro_area_a_simulation_b__5c5819cc,eaus_nawm08__tax_reform_and_labour_market_performance_in_the_euro_area_a_simulation_b,matched,1.0000,5c5819cc-74be-4264-82bc-187cd529de8d,Tax reform and labour-market performance in the euro area- A simulation-based analysis using the New Area-Wide Model,1.0000,,mmb-paper-derivations/derivations/EAUS_NAWM08/EAUS_NAWM08_derivation.en.md,mmb-paper-derivations/derivations/EAUS_NAWM08/EAUS_NAWM08_derivation.zh.md,EAUS_NAWM08_derivation.zh.md,mmb-paper-derivations/derivations/EAUS_NAWM08/source_manifest.json,mmb-paper-derivations/derivations/EAUS_NAWM08/extraction_notes.md,mmb-paper-derivations/derivations/EAUS_NAWM08/worker_report.json,5d2c25311a5293485f03f766ac0b550b6dc319c75913bd90241bd61074396516,da101fb8fbccf7fc387dd6ecbd6f4db7fd7d97c93c5d6dd6553a0b36919c0a3e,94,94,39,true,true,true,needs_review,needs_review,calibrated_steady_state_ratios_recorded; analytic_steady_state_not_reconstructed,True,false,not_vendored_public_repo_copyright_boundary,dsge-evaluation,raw/mmb_mineru/runs/eaus_nawm08__tax_reform_and_labour_market_performance_in_the_euro_area_a_simulation_b__5c5819cc/full.md,15569c0b08643411649b53c651d9ef325768a90f517e5189ca91665a8b1cd6f9,dsge-evaluation,raw/mmb_papers/Tax reform and labour-market performance in the euro area- A simulation-based analysis using the New Area-Wide Model.pdf,2df4cf26a1627be4dc1fff22ecc63d03245530f81a1b3fe6d4433cd8435d6fa3
EAUS_NAWMctww,Fiscal consolidation strategy,"Cogan, John F.; Taylor, John B.; Wieland, Volker; Wolters, Maik H.",2013,"Journal of Economic Dynamics and Control 37, pp. 404-421",10.1016/j.jedc.2012.10.004,eaus_nawmctww__fiscal_consolidation_strategy__97cf0e5f,eaus_nawmctww__fiscal_consolidation_strategy,matched,1.0000,97cf0e5f-085a-426c-ac73-d01b58305110,Fiscal consolidation strategy,1.0000,,mmb-paper-derivations/derivations/EAUS_NAWMctww/EAUS_NAWMctww_derivation.en.md,mmb-paper-derivations/derivations/EAUS_NAWMctww/EAUS_NAWMctww_derivation.zh.md,EAUS_NAWMctww_derivation.zh.md,mmb-paper-derivations/derivations/EAUS_NAWMctww/source_manifest.json,mmb-paper-derivations/derivations/EAUS_NAWMctww/extraction_notes.md,mmb-paper-derivations/derivations/EAUS_NAWMctww/worker_report.json,84ade0b8c2ab9241c7d733c4e83f333aba449e08452fb73913ff720d28090c4f,137f5b82d91ac1b54fa4e219b88c55d7a0d969c0bbed0e99bcca6f106783f464,108,108,40,true,true,true,needs_review,usable first-pass OCR with selected needs_review equations,deferred; no full steady-state solve,true,false,not_vendored_public_repo_copyright_boundary,dsge-evaluation,raw/mmb_mineru/runs/eaus_nawmctww__fiscal_consolidation_strategy__97cf0e5f/full.md,cf88cce82ab5257a4b408ab12f46203f1ed6305c5bc09c08b7a4444f7649e766,dsge-evaluation,raw/mmb_papers/Fiscal consolidation strategy.pdf,4497e0d943d4ef918f61c003607cc30e34d693b647b6d962a1dc95298ff7fe88
