source_id,paper_slug,paper_title,authors,year,journal_or_series,doi,mineru_match_status,mineru_match_score,mineru_run_ids,primary_source_title,model_title_match_score,primary_full_md_repo,primary_full_md_repo_relpath,primary_full_md_sha256,raw_pdf_repo,raw_pdf_repo_relpath,raw_pdf_sha256,source_markdown_storage,linked_model_ids,linked_model_count
bra_samba08__samba_stochastic_analytical_model_with_a_bayesian_approach__8681ba38,bra_samba08__samba_stochastic_analytical_model_with_a_bayesian_approach,Samba: Stochastic analytical model with a bayesian approach,"Gouvea, Solange; Minella, André; Santos, Rafael; Souza-Sobrinho, Nelson",2008,unpublished,10.12660/bre.v35n22015.57573,matched,0.9455,8681ba38-3d6a-453b-8229-c524e9fde18e; c6e497b6-b09e-4a9e-9c91-8b913af49f93,Stochastic analytical model with a bayesian approach 2011,0.9455,dsge-evaluation,raw/mmb_mineru/runs/bra_samba08__samba_stochastic_analytical_model_with_a_bayesian_approach__8681ba38/full.md,2ad87f4be481f6c5204b7275aa1a0ba1e081fd5049ccc40c7fa04ebe8efdbba7,dsge-evaluation,raw/mmb_papers/Stochastic analytical model with a bayesian approach 2011.pdf,8ec1fcf4cc37cee968c4bf8d23d92dbe537f0401a25ca509befa84d8e0c1325e,not_vendored_public_repo_copyright_boundary,BRA_SAMBA08,1
ca_bmz12__macroprudential_rules_and_monetary_policy_when_financial_frictions_matte__aa2f7a66,ca_bmz12__macroprudential_rules_and_monetary_policy_when_financial_frictions_matte,Macroprudential rules and monetary policy when financial frictions matter,"Bailliu, Jeannine; Zhang, Yahong; Meh, Césaire A.",2012,Bank of Canada Working Paper 2012-6,10.1016/j.econmod.2015.06.012,matched,1.0000,aa2f7a66-382f-4b7a-b1e5-7ea424d00208,Macroprudential rules and monetary policy when financial frictions matter,1.0000,dsge-evaluation,raw/mmb_mineru/runs/ca_bmz12__macroprudential_rules_and_monetary_policy_when_financial_frictions_matte__aa2f7a66/full.md,7ef665791e162bac910cf647d9d75e5a5ff7ce1ca73ccb16b5dc74ba58263f29,dsge-evaluation,raw/mmb_papers/Macroprudential rules and monetary policy when financial frictions matter.pdf,37cdb7c76d7e0cef53ef9630cb20dc6eb7008b7390dcb4c7b295d782a3c7ed8d,not_vendored_public_repo_copyright_boundary,CA_BMZ12,1
ca_ls07__do_central_banks_respond_to_exchange_rate_movements_a_structural_investi__075fd116,ca_ls07__do_central_banks_respond_to_exchange_rate_movements_a_structural_investi,Do central banks respond to exchange rate movements? A structural investigation,"Lubik, Thomas; Schorfheide, Frank",2007,"Journal of Monetary Economics 54(4), pp. 1069-1087",10.1016/j.jmoneco.2006.01.009,matched,1.0000,075fd116-e951-48af-9644-dfddec2c1ac6,Do central banks respond to exchange rate movements? A structural investigation,1.0000,dsge-evaluation,raw/mmb_mineru/runs/ca_ls07__do_central_banks_respond_to_exchange_rate_movements_a_structural_investi__075fd116/full.md,244c995e5b13ef7cf5eabace5a0fa9f71b3320b717ee764759cf04b49cfbff7b,dsge-evaluation,raw/mmb_papers/Do central banks respond to exchange rate movements? A structural investigation.pdf,a70b1ede6937f01fddee0a0b8624b68596d4486daae337de49e447cc63a2c357,not_vendored_public_repo_copyright_boundary,CA_LS07,1
ca_totem10__totem_the_bank_of_canada_s_new_canadian_projection_model__1f1558b7,ca_totem10__totem_the_bank_of_canada_s_new_canadian_projection_model,ToTEM: The Bank of Canada's New Canadian Projection Model,"Murchison, Stephen; Rennison, Andrew",2006,Bank of Canada Technical Report,,matched,1.0000,1f1558b7-6221-43b1-bd72-0da851c17e30,ToTEM- The Bank of Canada's New Canadian Projection Model,1.0000,dsge-evaluation,raw/mmb_mineru/runs/ca_totem10__totem_the_bank_of_canada_s_new_canadian_projection_model__1f1558b7/full.md,aa04b5100362b38a2bd9d2a3cb81538770ec75122336002e60331702640c936f,dsge-evaluation,raw/mmb_papers/ToTEM- The Bank of Canada's New Canadian Projection Model.pdf,cb9f417bf7e4e6edb118cd06abc194483df2d855e0cac6e8b24d09599862bb48,not_vendored_public_repo_copyright_boundary,CA_ToTEM10,1
cl_ms07__the_chilean_business_cycles_through_the_lens_of_a_stochastic_general_equ__ba200544,cl_ms07__the_chilean_business_cycles_through_the_lens_of_a_stochastic_general_equ,The Chilean business cycles through the lens of a stochastic general equilibrium model,"Medina, Juan Pablo; Soto, Claudio",2007,Central Bank of Chile Working Papers 457,,matched,1.0000,ba200544-f03b-40fa-9701-e329f23df158,The Chilean business cycles through the lens of a stochastic general equilibrium model,1.0000,dsge-evaluation,raw/mmb_mineru/runs/cl_ms07__the_chilean_business_cycles_through_the_lens_of_a_stochastic_general_equ__ba200544/full.md,53dd5b8e2c0357bb61a983ce13f67be6038bacbeda284b19d8e2ff49d9d6b78f,dsge-evaluation,raw/mmb_papers/The Chilean business cycles through the lens of a stochastic general equilibrium model.pdf,61a5118ff69dbc00c90a2c0f9c93ce1c9845439e54c5dfb4ed04ada71bd144df,not_vendored_public_repo_copyright_boundary,CL_MS07,1
derea_gear16__fiscal_policy_during_the_crisis_a_look_on_germany_and_the_euro_area_with__0124e095,derea_gear16__fiscal_policy_during_the_crisis_a_look_on_germany_and_the_euro_area_with,Fiscal policy during the crisis: A look on Germany and the Euro area with GEAR,"Gadatsch, Niklas; Hauzenberger, Klemens; Stähler, Nikolai",2016,"Economic Modelling, 52, 997-1016",10.1016/j.econmod.2015.10.038,matched,1.0000,0124e095-1761-4c44-ad21-f42ff3285c6e,Fiscal policy during the crisis- A look on Germany and the Euro area with GEAR,1.0000,dsge-evaluation,raw/mmb_mineru/runs/derea_gear16__fiscal_policy_during_the_crisis_a_look_on_germany_and_the_euro_area_with__0124e095/full.md,d542c9f7ee6951736d29775c6dbadecf957618056a4295e31ff38ed9489ebff1,dsge-evaluation,raw/mmb_papers/Fiscal policy during the crisis- A look on Germany and the Euro area with GEAR.pdf,7d3c1f2aacf3a4112cd9979a528bc4a185f6d6d5687b1e9f4262c9ffe88de855,not_vendored_public_repo_copyright_boundary,DEREA_GEAR16,1
ea_alsv06__money_in_an_estimated_business_cycle_model_of_the_euro_area__21baa95d,ea_alsv06__money_in_an_estimated_business_cycle_model_of_the_euro_area,Money in an estimated business cycle model of the euro area,"Andrés, Javier; López-Salido, J. David; Vallés, Javier",2006,"The Economic Journal 116(April), pp. 457-477",10.1111/j.1468-0297.2006.01088.x,matched,1.0000,21baa95d-1263-4b38-98db-18b1c3cfb685,Money in an estimated business cycle model of the euro area,1.0000,dsge-evaluation,raw/mmb_mineru/runs/ea_alsv06__money_in_an_estimated_business_cycle_model_of_the_euro_area__21baa95d/full.md,db46d763975c0dee8f6d0d6b303e1bcb7708a6ccbca2de86cda99654420bcfc7,dsge-evaluation,raw/mmb_papers/Money in an estimated business cycle model of the euro area.pdf,dbd45cd2235a3684d39d69d253a4fc50d66b5d7cf467a1916dfd71d5c05418f7,not_vendored_public_repo_copyright_boundary,EA_ALSV06,1
ea_awm05__optimal_monetary_policy_rules_for_the_euro_area_an_analysis_using_the_ar__52db9f78,ea_awm05__optimal_monetary_policy_rules_for_the_euro_area_an_analysis_using_the_ar,Optimal monetary policy rules for the euro area: An analysis using the area wide model,"Dieppe, Alistair; Kuester, Keith; McAdam, Peter",2005,"Journal of Common Market Studies 43(3), pp. 507-537",10.1111/j.0021-9886.2005.00567.x,matched,1.0000,52db9f78-eac7-4557-90e0-f1fd98503b02,Optimal monetary policy rules for the euro area- An analysis using the area wide model,1.0000,dsge-evaluation,raw/mmb_mineru/runs/ea_awm05__optimal_monetary_policy_rules_for_the_euro_area_an_analysis_using_the_ar__52db9f78/full.md,0286b2a3d0fa4ae5b2bfd2e04fa1439da6675cd44404c669202537d667f008b8,dsge-evaluation,raw/mmb_papers/Optimal monetary policy rules for the euro area- An analysis using the area wide model.pdf,173ef2966958551b065047e67b38705fdca708e98362bc7c30e51b634c0ab684,not_vendored_public_repo_copyright_boundary,EA_AWM05,1
ea_be15__money_in_the_production_function_a_new_keynesian_dsge_perspective__1c7666dc,ea_be15__money_in_the_production_function_a_new_keynesian_dsge_perspective,Money in the Production Function: A New Keynesian DSGE Perspective,"Benchimol, Jonathan",2015,"Southern Economic Journal 2015, 82(1), 152-184",10.4284/0038-4038-2011.197,matched,1.0000,1c7666dc-063b-460a-8f2d-880e0b541ee9,Money in the Production Function- A New Keynesian DSGE Perspective,1.0000,dsge-evaluation,raw/mmb_mineru/runs/ea_be15__money_in_the_production_function_a_new_keynesian_dsge_perspective__1c7666dc/full.md,83f7b2823b6edd23674fa04d32237a44b2897ba68f9947be583a94c3573e0500,dsge-evaluation,raw/mmb_papers/Money in the Production Function- A New Keynesian DSGE Perspective.pdf,876dc520375986b7e7d1fa50f3de48b1b1281dfc6134273a357f4d02ca5eb624,not_vendored_public_repo_copyright_boundary,EA_BE15,1
ea_bf17__money_and_monetary_policy_in_the_eurozone_an_empirical_analysis_during_c__c4e7b84e,ea_bf17__money_and_monetary_policy_in_the_eurozone_an_empirical_analysis_during_c,Money And Monetary Policy In The Eurozone: An Empirical Analysis During Crises,"Benchimol, Jonathan; Fourçans, André",2017,"Macroeconomic Dynamics, Cambridge University Press, vol. 21(03), 677-707",10.1017/s1365100515000644,matched,1.0000,c4e7b84e-cfee-46d2-910b-8167adc738b2,Money And Monetary Policy In The Eurozone- An Empirical Analysis During Crises,1.0000,dsge-evaluation,raw/mmb_mineru/runs/ea_bf17__money_and_monetary_policy_in_the_eurozone_an_empirical_analysis_during_c__c4e7b84e/full.md,3037c6f46d189a4a1aa21c6e7bfc47c6be1cb9329b925af48a23d83c8c93dfd1,dsge-evaluation,raw/mmb_papers/Money And Monetary Policy In The Eurozone- An Empirical Analysis During Crises.pdf,5bde331554f5adb3d17a15e7986ecd34158d755fbca17bc625bab8ae615fb213,not_vendored_public_repo_copyright_boundary,EA_BF17,1
