"ModelID","Task","Paper","Year","ModelType","Economy","Category","KeyFeatures","DateAdded","Status"
"trend_rbc_gov_inv","RBC with public capital externality and trend growth; IRF to TFP and gov-investment shocks","custom","2026","RBC nonlinear","Closed economy","7. Fiscal Policy / Government Spending","public investment, public capital stock, Aschauer 1989 externality, trend growth (labor-augmenting), detrended BGP, stoch_simul order=1, back-solved psi/ig_ss in steady_state_model","2026-06-13","runnable"
"bgg_financial","BGG 1999 financial accelerator vs frictionless NK comparison; @#define macro switch WITH_FA; IRF to MP and TFP shocks","Bernanke Gertler Gilchrist 1999","1999","NK nonlinear","Closed economy","6. Financial Frictions / Credit Frictions","financial accelerator, CSV optimal contract, external finance premium premium=(Q*K/NW)^chi, entrepreneur net worth, @#ifndef WITH_FA macro switch for frictionless comparison, Calvo nonlinear pricing x1 x2 pstar, CEE investment adjustment costs, 20 vars 3 shocks, stoch_simul order=1, back-solved psi/we in steady_state_model","2026-06-13","runnable"
"govt_rbc_irf_matching","IRF-matching estimation of public capital elasticity in Aschauer-style RBC; Dynare 7.1 method_of_moments(irf_matching); US 1960-2019","custom","2026","RBC nonlinear","US economy","7. Fiscal Policy / Government Spending","public investment externality alphag, method_of_moments irf_matching, matched_irfs block, 3-var Cholesky VAR empirical IRFs from W780RC1Q027SBEA (gov gross investment ~5.8% GDP), bootstrap CI weights, pre-extracted sub-vectors for matched_irfs parser, 17 vars 2 shocks, back-solved psi/ig_ss, KEY FINDING: alphag pushes to upper bound (0.15) with correct investment data; rho_ig=0.82 interior; Hessian singular at bound","2026-06-13","runnable"
"zlb_qe","ZLB effect on QE effectiveness; 3-scenario perfect-foresight comparison via @#define ZLB/QE switches","custom (distilled from Chen-Curdia-Ferrero 2012)","2026","NK nonlinear","Closed economy","9. Unconventional Monetary Policy / QE","QE/asset purchases, portfolio-balance term premium, capital quality shock, ZLB via lmmcp, perfect foresight, Rotemberg pricing, investment adjustment cost, @#define scenario switch","2026-06-13","runnable"
"sims_wu_2019","Replication of Sims-Wu four-equation NK model; IRF to natural rate / MP / QE / credit shocks (Figures 1-4)","Sims and Wu 2019 (The Four Equation New Keynesian Model)","2019","NK linearized","Closed economy","9. Unconventional Monetary Policy / QE","four-equation NK, QE rule as 4th equation, credit/leverage shock theta enters BOTH IS and Phillips curves (cost-push), parent-child households share z, model(linear) zero steady state, Taylor rule + AR QE rule, expected excess return exr for yield-curve (Fig.4), QE less inflationary than rate cut, Divine Coincidence breaks, Table 1 calibration gam=0.086 zeta=2 bFI=0.7 bcb=0.3, 7 vars 4 shocks","2026-06-13","runnable"
"lk2024","Replicate Lu & Kameda (2024 JJIE) two-sector search-friction fiscal DSGE for Japan; calibrate-and-simulate with paper Tables 2-4 (no estimation), stoch_simul IRFs for gov consumption / public vacancy / public wage markup","Lu and Kameda 2024","2024","NK nonlinear","Closed economy","5. Labour Market Frictions (Search & Matching)","search-and-matching, two-sector public+private labor market, government employment, public vacancies + public wage markup, productive public capital + public services externality, staggered Nash wage bargaining (Hall 2005), intensive margin hours, Calvo prices, heterogeneous consumption employed vs unemployed (consumption-employment complementarity), distortionary taxes (cons/labor/capital), fiscal rules with output+debt feedback, Taylor rule, 15 shocks, external steadystate.m reverse-calibration, Japan","2026-06-13","runnable"
"bj2021_demography","Replicate Basso-Jimeno (2021 JME) demographic-transition core in Dynare; perfect-foresight permanent change in birth/survival rates US & Core Europe 1993->2055; initval/endval BGP-to-BGP (Solow_growth_rate_changes pattern)","Basso and Jimeno 2021","2021","Endogenous-growth OLG nonlinear (unambiguous core)","Closed economy (US / Core Europe)","12. Growth / Demographics / OLG","Gertler 1999 two-stage lifecycle demographics (worker/retiree law of motion eq.1/A.68), retiree-worker ratio tau_r state, balanced-growth-path mapping Prop.1 g=g_n^(1/(1-chi)) g_q=g/g_n g_Z=g_A=g^eta, robot-production curvature chi calibrated once to 1.6% per-capita growth, permanent demographic shock via initval/endval + perfect_foresight_solver, -D macro defines to switch US vs Europe calibration, 8 eqs; NOTE full 40-eq structural model NOT faithfully recoverable (OCR drops greek symbols; interest rate from Gertler/Epstein-Zin MPC block and automation level a_z from sigma-technology scaling Theta-tilde are document-irrecoverable)","2026-06-14","runnable"
"swff","Replicate Del Negro-Giannoni-Schorfheide (2015) SWFF in Dynare; calibrate at SWFF posterior mode (Table A-2, no estimation); transcribe FRBNY DSGE.jl m990 eqcond + financial_frictions; stoch_simul IRFs focused on financial (sigma_omega) and monetary shocks","Del Negro Giannoni Schorfheide 2015 (Inflation in the Great Recession and New Keynesian Models, AEJ:Macro)","2015","NK linearized","US economy","3. Financial Accelerator / BGG-type Credit Frictions","Smets-Wouters 2007 medium-scale + BGG/CMR financial accelerator (external finance premium, entrepreneur net worth, costly-state-verification spread eq), time-varying inflation target pistar, sticky+flexible dual economy for output gap, Calvo prices+wages with Kimball aggregator + indexation, investment adjustment costs, variable capacity utilization, habit, model(linear) zero steady state, FF zeta coefficients solved in swff_ff_coeffs.m (erfc/norminv + fzero on zeta_spb; Fstar=0.03 survival=0.99 spr=(1+SPstar/100)^0.25 nk*=0.77), 9 active shocks (z b mu g lamf lamw rm sigw pistar; m990 zp/mu_e/gamma dropped sigma=0), 40 vars 40 eqs BK verified, params via @#include swff_params.inc generated by run_swff.m, variables in percentage points so IRF Scale=1, reproduces missing-disinflation under financial stress","2026-06-14","runnable"
"BRA_SAMBA08","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","SAMBA: Stochastic Analytical Model with a Bayesian Approach","2008","New Keynesian DSGE, small open economy","Brazil","14. Large Official Policy Models","Bayesian estimation, hand-to-mouth HH, regulated prices, fiscal surplus targeting, imported intermediates, Calvo prices, investment adj. costs, small open economy","2026-06-18","derivation-only (needs_review)"
"CA_BMZ12","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","Macroprudential Rules and Monetary Policy when Financial Frictions Matter","2012","New Keynesian DSGE with financial frictions and macroprudential policy","Canada","13. Macroprudential Policy","credit frictions, banking sector, macroprudential policy, Bayesian estimation, Flexible-price","2026-06-18","derivation-only (needs_review)"
"CA_LS07","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","Do Central Banks Respond to Exchange Rate Movements? A Structural Investigation","2007","New Keynesian DSGE, small open economy (linearized)","Canada (and other small open economies; Canada variant used here)","6. Open Economy / Multi-Country","small open economy, Includes terms of trade, Bayesian estimation, World","2026-06-18","derivation-only (needs_review)"
"CA_ToTEM10","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","ToTEM: The Bank of Canada's New Quarterly Projection Model","2006","New Keynesian DSGE, open economy, large-scale projection model","Canada","14. Large Official Policy Models","large-scale multi-sector, Produces four distinct finished goods, Contains a commodity-producing sector, Calvo prices+wages, investment adj. costs, multi-instrument fiscal block, Features a net foreign asset, World","2026-06-18","derivation-only (needs_review)"
"CL_MS07","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","The Chilean Business Cycles Through the Lens of a Stochastic General Equilibrium Model","2007","New Keynesian DSGE, small open economy","Chile","6. Open Economy / Multi-Country","small open economy, Features multiple production sectors, Includes a commodity, habit formation, investment adj. costs, fiscal rule, incomplete pass-through, Bayesian estimation","2026-06-18","derivation-only (needs_review)"
"DEREA_GEAR16","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","Fiscal Policy during the Crisis: A Look on Germany and the Euro Area with GEAR","2016","New Keynesian DSGE, three-region (two-country monetary union + rest of world)","Germany, Euro Area (excluding Germany), and Rest of World","7. Fiscal Policy / Government Spending","three-country, two-country, distortionary taxes, Nash bargaining, rule-of-thumb HH, Calvo prices+wages, investment adj. costs","2026-06-18","derivation-only (needs_review)"
"EACZ_GEM03","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","Monetary Rules for Small, Open, Emerging Economies","2003","Multi-sector open economy DSGE (IMF Global Economy Model -GEM variant)","Euro Area and Czech Republic (two-country: home = Czech Republic, foreign = Euro Area)","6. Open Economy / Multi-Country","two-country, commodity/energy sector, Optimal simple rule, Ricardian/non-Ricardian HH","2026-06-18","derivation-only (needs_review)"
"EAES_RA09","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","Inflation Differentials between Spain and the EMU: A DSGE Perspective","2009","Two-country New Keynesian DSGE with tradable and non-tradable sectors","Spain (home) and Euro Area/EMU (foreign) -currency union","6. Open Economy / Multi-Country","two-country, two-sector, Habit persistence in household consumption, Calvo prices, Bayesian estimation, currency/monetary union","2026-06-18","derivation-only (needs_review)"
"EAUS_NAWM08","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","Tax Reform and Labour-Market Performance in the Euro Area: A Simulation-Based Analysis Using the New Area-Wide Model","2008","Two-country open economy New Keynesian DSGE (New Area-Wide Model -NAWM)","Euro Area and United States (two-country)","14. Large Official Policy Models","two-country, distortionary taxes, rule-of-thumb HH, incomplete pass-through, investment adj. costs, habit formation","2026-06-18","derivation-only (needs_review)"
"EAUS_NAWMctww","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","Fiscal Consolidation Strategies","2013","Two-country open economy New Keynesian DSGE (NAWM re-parameterized variant)","Euro Area and United States (two-country)","14. Large Official Policy Models","two-country, rule-of-thumb HH, investment adj. costs, incomplete pass-through, habit formation","2026-06-18","derivation-only (needs_review)"
"EA_ALSV06","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","Money in an Estimated Business Cycle Model of the Euro Area","2006","New Keynesian DSGE with money","Euro Area","11. Money-in-the-Model","habit formation, money-in-utility (MIU), Calvo prices, Bayesian estimation","2026-06-18","derivation-only (needs_review)"
"EA_AWM05","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","An Area-Wide Model (AWM) for the Euro Area","2005","Large-scale macroeconometric model (semi-structural / backward-looking, not micro-founded DSGE)","Euro Area","14. Large Official Policy Models","Area-Wide Model, Semi-structural model with many equations, Extensive use of lagged variables, Includes a detailed external sector, Labor market block, Government sector, Long-run restrictions","2026-06-18","derivation-only (needs_review)"
"EA_BE15","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","Money in the Production Function: A New Keynesian DSGE Perspective","2015","New Keynesian DSGE with money in the production function","Euro Area","11. Money-in-the-Model","money-in-production (MIP), Money-in-production-function, Unconstrained returns to scale, Bayesian estimation, Includes both nominal + flexible-price","2026-06-18","derivation-only (needs_review)"
"EA_BF17","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","Money and Monetary Policy in the Eurozone: An Empirical Analysis During Crises","2017","New Keynesian DSGE with money in the production function","Euro Area","11. Money-in-the-Model","money-in-production (MIP), Bayesian estimation, model","2026-06-18","derivation-only (needs_review)"
"EA_CKL09","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","The Role of Labor Markets for Euro Area Monetary Policy","2009","New Keynesian DSGE with labor market search and matching frictions","Euro Area","5. Labour Market Frictions (Search & Matching)","search-and-matching, Bayesian estimation, habit formation","2026-06-18","derivation-only (needs_review)"
"EA_CW05fm","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","A Small Estimated Euro Area Model with Rational Expectations and Nominal Rigidities","2005","New Keynesian, small estimated model (linearized), Fuhrer-Moore wage contracting variant","Euro Area","1. Baseline NK / Monetary Policy Rules","intrinsic inflation inertia","2026-06-18","derivation-only (needs_review)"
"EA_CW05ta","MMB paper derivation reference (8-section FOC/equilibrium derivation, EN+ZH); no runnable .mod","A Small Estimated Euro Area Model with Rational Expectations and Nominal Rigidities","2005","New Keynesian, small estimated model (linearized), Taylor nominal wage contracting variant","Euro Area","1. Baseline NK / Monetary Policy Rules","staggered wage contracts","2026-06-18","derivation-only (needs_review)"
